resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
2,1,2,3,1,1,1,0,1,2,4,1,1,2,3,1,21,2,70,4,5,4,5,4,5,0,0,1,Incorrect,Correct,1,1,0,0.8,0.9,0,Agree,Agree Strongly,Disagree,Neither,2012,2,2,3,1
5,4,5,5,1,1,0,1,1,1,4,1,2,6,4,1,74,22,30,5,2,1,1,2,1,1,1,1,Correct,Correct,0,0,0,0.8,0.4,1,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,2012,5,5,5,4
4,4,3,3,1,1,1,1,1,2,3,1,2,5,5,1,61,22,70,3,3,2,3,3,3,1,1,3,Correct,Correct,0,1,1,1,0.5666666666666667,1,Disagree,Disagree,Neither,Neither,2012,4,3,3,4
3,2,3,3,1,1,1,1,1,1,4,2,3,3,4,1,29,1,50,4,5,4,5,4,4,0,0,5,Correct,Correct,0,0,0,1,0.8666666666666667,0,Neither,Agree,Neither,Neither,2012,3,3,3,2
5,4,3,5,1,1,0,1,1,2,2,1,2,7,3,1,69,15,85,5,5,5,5,5,4,1,1,4,Correct,Correct,0,1,0,0.8,0.9666666666666667,1,Disagree Strongly,Disagree,Neither,Agree Strongly,2012,5,3,5,4
4,4,4,5,1,0,0,0,1,2,3,2,2,2,2,1,32,11,55,5,5,4,5,5,5,0,0,3,Incorrect,Correct,0,1,1,0.4,0.9666666666666667,0,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
2,2,1,2,1,0,0,1,1,2,4,2,1,2,3,1,82,8,50,4,5,2,5,4,5,0,0,5,Correct,Correct,1,1,0,0.6,0.8333333333333334,0,Agree,Agree,Disagree Strongly,Disagree,2012,2,1,2,2
4,2,4,5,1,1,1,0,1,2,3,1,2,6,2,1,72,1,60,2,2,2,2,2,2,1,1,3,Incorrect,Correct,0,1,1,0.8,0.4,1,Disagree,Agree,Agree,Agree Strongly,2012,4,4,5,2
5,5,5,5,1,0,0,1,0,2,3,2,1,4,2,1,49,3,75,3,5,1,1,5,5,0,0,3,Correct,Incorrect,1,1,1,0.4,0.6666666666666666,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,2,2,2,1,1,1,1,1,1,1,1,1,3,5,1,73,20,75,5,3,4,3,2,2,0,0,5,Correct,Correct,1,0,0,1,0.6333333333333333,0,Disagree,Agree,Disagree,Disagree,2012,4,2,2,2
4,2,4,4,1,0,0,1,0,2,3,1,2,6,3,1,47,17,60,5,2,2,2,4,2,0,0,5,Correct,Incorrect,0,1,1,0.4,0.5666666666666667,0,Disagree,Agree,Agree,Agree,2012,4,4,4,2
